,Title,Release Date,Color,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,Score,Total Reviews,Duration,Gross Revenue,Budget,Z_Score,Softmax_Score
0,Over the Hill to the Poorhouse,15-09-1920,Black and White,Crime,English,USA,Not Rated,Stephen Carr,Harry F. Millarde,2.0,4,0,0,4.8,1.0,110.0,3000000,100000,0.4155844155844155,3.211339455675102e-05
1,Metropolis,26-01-1927,Black and White,Drama,German,Germany,Not Rated,Brigitte Helm,Fritz Lang,136.0,203,756,12000,8.3,260.0,145.0,26435,6000000,0.8701298701298702,0.0010634495746746208
2,The Broadway Melody,11-11-1929,Black and White,Musical,English,USA,Passed,Anita Page,Harry Beaumont,77.0,109,4,167,6.3,36.0,100.0,2808000,379000,0.6103896103896103,0.00014392224939644498
3,42nd Street,29-08-1933,Black and White,Comedy,English,USA,Unrated,Ginger Rogers,Lloyd Bacon,610.0,995,24,439,7.7,65.0,89.0,2300000,439000,0.792207792207792,0.0005836335009806748
4,Top Hat,15-04-1935,Black and White,Comedy,English,USA,Approved,Ginger Rogers,Mark Sandrich,610.0,824,10,1000,7.8,66.0,81.0,3000000,609000,0.805194805194805,0.0006450147720985165
5,Modern Times,07-10-1936,Black and White,Comedy,English,USA,G,Paulette Goddard,Charles Chaplin,309.0,352,0,0,8.6,120.0,87.0,163245,1500000,0.909090909090909,0.0014355067747874894
6,Snow White and the Seven Dwarfs,02-02-1937,Color,Animation,English,USA,Approved,Adriana Caselotti,William Cottrell,82.0,229,0,0,7.7,145.0,83.0,184925485,2000000,0.792207792207792,0.0005836335009806748
7,Gone with the Wind,12-11-1939,Color,Drama,English,USA,G,Hattie McDaniel,Victor Fleming,503.0,1862,149,16000,8.2,157.0,226.0,198655278,3977000,0.857142857142857,0.0009622489673600217
8,The Wizard of Oz,09-04-1939,Black and White,Adventure,English,USA,Passed,Margaret Hamilton,Victor Fleming,695.0,2509,149,14000,8.1,213.0,102.0,22202612,2800000,0.844155844155844,0.0008706788711338108
9,Fantasia,18-05-1940,Color,Animation,English,USA,G,Leopold Stokowski,James Algar,16.0,16,11,3000,7.8,99.0,120.0,76400000,2280000,0.805194805194805,0.0006450147720985165
10,Pinocchio,12-10-1940,Color,Animation,English,USA,Approved,Mel Blanc,Norman Ferguson,1000.0,1178,3,0,7.5,105.0,88.0,84300000,2600000,0.7662337662337662,0.0004778386957794468
11,Duel in the Sun,07-06-1946,Color,Drama,English,USA,Unrated,Joseph Cotten,King Vidor,469.0,2037,54,403,6.9,32.0,144.0,20400000,8000000,0.6883116883116883,0.00026224343641975407
12,The Best Years of Our Lives,26-04-1946,Black and White,Drama,English,USA,Not Rated,Myrna Loy,William Wyler,749.0,1941,355,0,8.1,97.0,172.0,23650000,2100000,0.844155844155844,0.0008706788711338108
13,The Lady from Shanghai,07-12-1947,Black and White,Crime,English,USA,Not Rated,Rita Hayworth,Orson Welles,1000.0,1055,0,0,7.7,90.0,92.0,7927,2300000,0.792207792207792,0.0005836335009806748
14,The Pirate,07-04-1948,Color,Adventure,English,USA,Approved,Gladys Cooper,Vincente Minnelli,89.0,282,136,359,7.1,41.0,102.0,2956000,3700000,0.7142857142857142,0.00032030485655248854
15,Annie Get Your Gun,02-04-1950,Color,Biography,English,USA,Passed,Keenan Wynn,George Sidney,277.0,731,24,456,7.0,21.0,107.0,8000000,3768785,0.7012987012987012,0.0002898238193873322
16,The Greatest Show on Earth,23-10-1952,Color,Drama,English,USA,Not Rated,Gloria Grahame,Cecil B. DeMille,232.0,825,309,625,6.7,44.0,152.0,36000000,4000000,0.6623376623376622,0.00021470676618970307
17,"The Beast from 20,000 Fathoms",22-08-1953,Black and White,Adventure,English,USA,Approved,Kenneth Tobey,Eug̬ne Louri̩,57.0,205,7,465,6.7,67.0,80.0,5000000,210000,0.6623376623376622,0.00021470676618970307
18,The Robe,15-05-1953,Color,Drama,English,USA,Unrated,Richard Burton,Henry Koster,726.0,1920,28,0,6.8,42.0,135.0,36000000,5000000,0.6753246753246751,0.00023728767390692747
19,On the Waterfront,29-10-1954,Black and White,Crime,English,USA,Not Rated,Marlon Brando,Elia Kazan,10000.0,11094,603,0,8.2,134.0,108.0,9600000,910000,0.857142857142857,0.0009622489673600217
20,Seven Samurai,02-07-1954,Black and White,Action,Japanese,Japan,Unrated,Takashi Shimura,Akira Kurosawa,304.0,338,0,11000,8.7,153.0,202.0,269061,2000000,0.9220779220779219,0.0015864803401957012
21,The Bridge on the River Kwai,24-09-1957,Color,Adventure,English,UK,PG,William Holden,David Lean,682.0,1035,767,0,8.2,122.0,161.0,27200000,3000000,0.857142857142857,0.0009622489673600217
22,Some Like It Hot,23-02-1959,Black and White,Comedy,English,USA,Not Rated,Nehemiah Persoff,Billy Wilder,105.0,527,0,10000,8.3,181.0,120.0,25000000,2883848,0.8701298701298702,0.0010634495746746208
23,Psycho,04-11-1960,Black and White,Horror,English,USA,R,Janet Leigh,Alfred Hitchcock,606.0,1885,13000,18000,8.5,290.0,108.0,32000000,806947,0.8961038961038961,0.0012989002436718403
